2023/11/9-3
time:21:31:51	 120.1171875  120.1171875  120.1171875  120.1171875  120.1171875   120.1171875
time:21:32:8	 152.83203125  152.83203125  152.83203125  152.83203125  152.83203125   152.83203125
time:21:32:25	 439.94140625  439.94140625  439.94140625  439.94140625  439.94140625   439.94140625
time:21:32:42	 439.94140625  439.94140625  439.94140625  439.94140625  439.94140625   439.94140625
time:21:32:59	 439.94140625  439.94140625  439.94140625  439.94140625  439.94140625   439.94140625
time:21:33:17	 1000.  1000.  1000.  1000.  1000.  1000.
time:21:33:34	 1000.          1000.           999.51171875  1000.          1000.          1000.
time:21:33:51	 2000.          2000.          1999.51171875  1999.0234375   2000.   1998.046875
time:21:34:9	 2000.  2000.  2000.  2000.  2000.  2000.
time:21:34:26	 3000.          2999.51171875  3000.          2999.51171875  2999.51171875   3000.
time:21:34:43	 3000.          2999.51171875  3000.          3000.48828125  3000.          3000.
time:21:35:19	 3999.51171875  1068.359375    3999.51171875  3999.51171875  3999.51171875   1056.640625
time:21:35:37	 3999.51171875  3999.51171875  3999.51171875  3999.51171875  3999.51171875   3999.51171875
time:21:35:54	 120.1171875  120.1171875  120.1171875  120.1171875  120.1171875   120.1171875
time:21:36:11	 2599.12109375  2549.8046875   2546.875       2894.53125     2433.10546875   2516.11328125
time:21:36:28	 132.8125      152.83203125  120.1171875   120.1171875   120.1171875   152.83203125
time:21:36:46	 645.01953125  644.53125     644.53125     575.68359375  334.47265625   644.53125
time:21:37:3	 153.3203125   306.15234375   58.59375      58.59375     153.3203125   153.3203125
time:21:37:20	 120.1171875  120.1171875  120.1171875  120.1171875  120.1171875   120.1171875
time:21:37:37	 153.3203125   153.3203125   153.3203125   152.83203125  152.83203125   153.3203125
time:21:37:54	 152.83203125  152.83203125  152.83203125  152.83203125  152.83203125   152.83203125
time:21:38:11	 152.34375    152.34375    120.1171875  152.34375    152.34375    152.34375

